"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","MNPN","MXPN","PRCP","SN32","SN33","SN35","SNOW","SNWD","SX32","SX33","SX35","TAVG","TMAX","TMIN","WESD","WESF"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-01",,,,"0.00",,,,,,,,,,"52","32",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-02",,,,"0.00",,,,,,,,,,"53","30",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-03",,,,"0.00",,,,,,,,,,"54","29",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-04",,,,"0.00",,,,,,,,,,"53","29",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-05",,,,"0.57",,,,,,,,,,"54","32",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-06",,,,"0.01",,,,,,,,,,"50","34",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-07",,,,"0.00",,,,,,,,,,"55","37",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-08",,,,"0.00",,,,,,,,,,"54","36",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-09",,,,"0.00",,,,,,,,,,"55","35",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-10",,,,"0.00",,,,,,,,,,"53","32",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-11",,,,"0.00",,,,,,,,,,"52","29",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-12",,,,"0.00",,,,,,,,,,"51","29",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-13",,,,"0.00",,,,,,,,,,"48","26",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-14",,,,"0.00",,,,,,,,,,"46","26",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-15",,,,"0.00",,,,,,,,,,"50","29",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-16",,,,"0.00",,,,,,,,,,"53","29",,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013-01-17",,,,"0.00",,,,,,,,,,"57","29",,
