"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT08","WT09","WT11","WT13","WT16","WT22"
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-01",,"0.00","0.0","20.0",,"48","21",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-02",,"0.00","0.0","20.0",,"53","23",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-03",,"0.00","0.0","20.0",,"52","24",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-04",,"0.00","0.0","20.0",,"55","26",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-05",,"0.01","0.0","18.0",,"46","31",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-06",,"0.00","0.0","16.0",,"45","26",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-07",,"0.00","0.0","16.0",,"54","32",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-08",,"0.00","0.0","16.0",,"62","31",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-09",,"0.50","0.3","16.0",,"45","24",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-10",,"0.00","0.0","16.0",,"36","15",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-11",,"0.00","0.0","16.0",,"33","13",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-12",,"0.00","0.0","16.0",,"41","15",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-13",,"0.00","0.0","16.0",,"39","14",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-14",,"0.00","0.0","15.0",,"43","20",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-15",,"0.00","0.0","12.0",,"62","28",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-16",,"0.00","0.0","12.0",,"66","33",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-17",,"0.00","0.0","10.0",,"67","27",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-18",,"0.00","0.0","10.0",,"63","28",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-19",,"0.00","0.0","10.0",,"63","28",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-20",,"0.00","0.0","10.0",,"65","28",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-21",,"0.00","0.0","8.0",,"66","28",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-22",,"0.00","0.0","8.0",,"61","31",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-23",,"0.30","0.0","6.0",,"53","34",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-24",,"0.13","0.0","4.0",,"49","40",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-25",,"0.01","0.0","3.0",,"54","40",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-26",,"0.28","2.5","4.0",,"45","27",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-27",,"0.00","0.0","2.0",,"41","23",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-28",,"0.00","0.0","2.0",,"44","25",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-29",,"0.00","0.0","1.0",,"55","29",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-30",,"0.00","0.0","0.0",,"64","30",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-01-31",,"0.00","0.0","0.0",,"64","30",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-02-01",,"0.00",,,,"63","32",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-02-02",,"0.00",,,,"60","29",,,,,,,,,,,,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013-02-03",,"0.00",,,,"62","29",,,,,,,,,,,,,,,
