"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-01",,,,,,,,"42","47","32",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-02",,,,,,,,"40","50","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-03",,,,,,,,"40","52","31",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-04",,,,,,,,"38","48","33",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-05",,,,,,,,"39","49","32",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-06",,,,,,,,"39","45","34",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-07",,,,,,,,"45","51","40",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-08",,,,,,,,"44","49","38",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-09",,,,,,,,"41","47","35",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-10",,,,,,,,"36","43","32",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-11",,,,,,,,"36","43","32",,,,,,,,,,,
"USR0000CGAS","GASQUET CALIFORNIA, CA US","41.8458","-123.9792","152.4","2013-01-12",,,,,,,,"36","43","32",,,,,,,,,,,
