"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT11"
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-01",,,,,,"11","25","2",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-02",,,,,,"10","30","-2",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-03",,,,,,"12","33","0",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-04",,,,,,"16","34","7",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-05",,,,,,"21","38","9",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-06",,,,,,"21","35","12",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-07",,,,,,"27","47","9",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-08",,,,,,"31","50","24",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-09",,,,,,"37","52","25",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-10",,,,,,"21","26","16",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-11",,,,,,"19","27","4",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-12",,,,,,"3","25","-10",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-13",,,,,,"2","23","-11",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-14",,,,,,"6","24","-9",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-15",,,,,,"20","40","6",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-16",,,,,,"20","42","9",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-17",,,,,,"19","41","7",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-18",,,,,,"16","40","4",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-19",,,,,,"17","41","4",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-20",,,,,,"19","43","4",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-21",,,,,,"23","49","9",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-22",,,,,,"27","47","14",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-23",,,,,,"39","53","29",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-24",,,,,,"36","46","32",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-25",,,,,,"39","51","32",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-26",,,,,,"37","47","30",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-27",,,,,,"23","33","6",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-28",,,,,,"25","35","5",,,,,,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013-01-29",,,,,,"36","47","30",,,,,,,,
