"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDMV","WESD","WESF"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-01","2.0",,,"0.0","0.0","0.0",,"10.6","1.1","3.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-02","0.3",,,"0.0","0.0","0.0",,"11.7","2.2","11.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-03","0.5",,,"0.0","0.0","0.0",,"13.9","0.6","6.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-04","1.5","-17.8",,"0.0","0.0","0.0",,"13.9","3.3","5.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-05","1.3",,,"0.0","0.0","0.0",,"14.4","3.9","3.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-06","1.5","-17.8","-17.8","9.1","0.0","0.0",,"6.7","3.9","5.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-07","11.9",,,"12.7","0.0","0.0",,"8.9","1.1","2.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-08","0.5",,,"0.0","0.0","0.0",,"9.4","1.7","3.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-09","0.8",,,"0.0","0.0","0.0",,"13.3","2.8","5.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-10","0.3","-17.8","-17.8","0.8","0.0","0.0",,"12.8","0.0","34.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-11","0.8","-17.8","-17.8","0.3","0.0","0.0",,"8.9","-1.1","48.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-12","0.5","-17.8","-17.8","0.0","0.0","0.0",,"9.4","-1.7","45.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-13","0.5",,,"0.0","0.0","0.0",,"5.0","-1.1","66.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-14","0.5","-17.8","-17.8","0.0","0.0","0.0",,"8.9","-2.2","42.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-15","1.5","-17.8","-17.8","0.0","0.0","0.0",,"9.4","-0.6","40.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-16","1.0",,,"0.0","0.0","0.0",,"11.1","0.0","32.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-17","2.0","-17.8","-17.8","0.0","0.0","0.0",,"18.9","2.2","32.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-18","0.8",,,"0.0",,,,"18.9","2.8","68.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-19","4.1",,,"0.0","0.0","0.0",,"19.4","6.7","74.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-20","2.8",,,"0.0","0.0","0.0",,"19.4","1.7","42.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-21","2.5","-17.8","-17.8","0.0","0.0","0.0",,"18.3","2.2","48.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-22","1.8","-17.8","-17.8","0.0","0.0","0.0",,"16.7","3.3","35.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-23","2.3",,,"0.0","0.0","0.0",,"22.2","5.0","37.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-24","0.3","-17.8","-17.8","0.0","0.0","0.0",,"17.2","10.0","24.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-25","2.5",,,"9.1","0.0","0.0",,"13.9","10.0","8.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-26","0.3","-17.8","-17.8","0.8","0.0","0.0",,"17.8","9.4","35.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-01-27","0.8",,,"0.0","0.0","0.0",,"12.8","3.3","31.0",,
